Legislator,Party
Allen,D
Allison,R
Anchía,D
Anderson,R
Ashby,R
Bailes,R
"Bell, C.",R
"Bell, K.",R
Bernal,D
Bhojani,D
Bonnen,R
Bowers,D
Bryant,D
Buckley,R
Bucy,D
Bumgarner,R
Burns,R
Burrows,R
Button,R
Cain,R
Campos,D
Canales,D
Capriglione,R
Clardy,R
Cole,D
Collier,D
Cook,R
Cortez,D
Craddick,R
Cunningham,R
Darby,R
Davis,D
Dean,R
DeAyala,R
Dorazio,R
Dutton,D
Flores,D
Frank,R
Frazier,R
Gámez,D
Garcia,D
Gates,R
Gerdes,R
Geren,R
Gervin-Hawkins,D
Goldman,R
"González, J.",D
"González, M.",D
Goodwin,D
Guerra,D
Guillen,R
Harless,R
"Harris, C.E.",R
"Harris, C.J.",R
Harrison,R
Hayes,R
Hefner,R
Hernandez,D
Herrero,D
Hinojosa,D
Holland,R
Howard,D
Hull,R
Hunter,R
Isaac,R
Jetton,R
"Johnson, A.",D
"Johnson, J.D.",D
"Johnson, J.E.",D
"Jones, J.",D
"Jones, V.",D
Kacal,R
"King, T.",D
Kitzman,R
Klick,R
Kuempel,R
Lalani,D
Lambert,R
Landgraf,R
Leach,R
Leo-Wilson,R
Longoria,D
"Lopez, J.",R
"Lopez, R.",D
Lozano,R
Lujan,R
Manuel,D
Martinez,D
Martinez Fischer,D
Metcalf,R
Meyer,R
Meza,D
Moody,D
"Morales, C.",D
"Morales, E.",D
Morales Shaw,D
Morrison,R
Muñoz,D
Murr,R
Neave Criado,D
Noble,R
Oliverson,R
Ordaz,D
Orr,R
Ortega,D
Patterson,R
Paul,R
Perez,D
Plesa,D
Price,R
Ramos,D
Raney,R
Raymond,D
Reynolds,D
Rogers,R
Romero,D
Rose,D
Rosenthal,D
Schaefer,R
Schatzline,R
Schofield,R
Shaheen,R
Sherman,D
Shine,R
Slaton,R
Slawson,R
Smith,R
Smithee,R
Spiller,R
Stucky,R
Swanson,R
Talarico,D
Tepper,R
Thierry,D
Thimesch,R
"Thompson, S.",D
Tinderholt,R
Toth,R
Troxclair,R
Turner,D
VanDeaver,R
Vasut,R
Vo,D
Walle,D
Wilson,R
Wu,D
Zwiener,D
Phelan,R
"King, K.",R
"Thompson, E.",R